Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloguer_mitja,Preu,,,,,,
2017,3,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà mensual (Euros/mes),759.87,,,,,,
2017,3,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,3,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà mensual (Euros/mes),711.93,,,,,,
2017,3,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà mensual (Euros/mes),817.64,,,,,,
2017,3,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà mensual (Euros/mes),777.64,,,,,,
2017,3,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà mensual (Euros/mes),861.69,,,,,,
2017,3,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà mensual (Euros/mes),796.5,,,,,,
2017,3,3,Sants-Montjuïc,18,Sants,Lloguer mitjà mensual (Euros/mes),812.48,,,,,,
2017,3,4,Les Corts,19,les Corts,Lloguer mitjà mensual (Euros/mes),1013.57,,,,,,
2017,3,4,Les Corts,20,la Maternitat i Sant Ramon,Lloguer mitjà mensual (Euros/mes),970.71,,,,,,
2017,3,4,Les Corts,21,Pedralbes,Lloguer mitjà mensual (Euros/mes),1882.42,,,,,,
2017,3,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Lloguer mitjà mensual (Euros/mes),1360.42,,,,,,
2017,3,5,Sarrià-Sant Gervasi,23,Sarrià,Lloguer mitjà mensual (Euros/mes),1364.01,,,,,,
2017,3,5,Sarrià-Sant Gervasi,24,les Tres Torres,Lloguer mitjà mensual (Euros/mes),1757,,,,,,
2017,3,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Lloguer mitjà mensual (Euros/mes),1324.4,,,,,,
2017,3,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Lloguer mitjà mensual (Euros/mes),1377.82,,,,,,
2017,3,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Lloguer mitjà mensual (Euros/mes),962.41,,,,,,
2017,3,6,Gràcia,28,Vallcarca i els Penitents,Lloguer mitjà mensual (Euros/mes),912.51,,,,,,
2017,3,6,Gràcia,29,el Coll,Lloguer mitjà mensual (Euros/mes),799.44,,,,,,
2017,3,6,Gràcia,30,la Salut,Lloguer mitjà mensual (Euros/mes),804.26,,,,,,
2017,3,6,Gràcia,31,la Vila de Gràcia,Lloguer mitjà mensual (Euros/mes),867.94,,,,,,
2017,3,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Lloguer mitjà mensual (Euros/mes),880,,,,,,
2017,3,7,Horta-Guinardó,33,el Baix Guinardó,Lloguer mitjà mensual (Euros/mes),804.26,,,,,,
2017,3,7,Horta-Guinardó,34,Can Baró,Lloguer mitjà mensual (Euros/mes),698.03,,,,,,
2017,3,7,Horta-Guinardó,35,el Guinardó,Lloguer mitjà mensual (Euros/mes),739.68,,,,,,
2017,3,7,Horta-Guinardó,36,la Font d'en Fargues,Lloguer mitjà mensual (Euros/mes),922.75,,,,,,
2017,3,7,Horta-Guinardó,37,el Carmel,Lloguer mitjà mensual (Euros/mes),610.13,,,,,,
2017,3,7,Horta-Guinardó,38,la Teixonera,Lloguer mitjà mensual (Euros/mes),643.74,,,,,,
2017,3,7,Horta-Guinardó,39,Sant Genís dels Agudells,Lloguer mitjà mensual (Euros/mes),713.38,,,,,,
2017,3,7,Horta-Guinardó,40,Montbau,Lloguer mitjà mensual (Euros/mes),749,,,,,,
2017,3,7,Horta-Guinardó,41,la Vall d'Hebron,Lloguer mitjà mensual (Euros/mes),805.87,,,,,,
2017,3,7,Horta-Guinardó,42,la Clota,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,3,7,Horta-Guinardó,43,Horta,Lloguer mitjà mensual (Euros/mes),704.57,,,,,,
2017,3,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Lloguer mitjà mensual (Euros/mes),750.43,,,,,,
2017,3,8,Nou Barris,45,Porta,Lloguer mitjà mensual (Euros/mes),670.43,,,,,,
2017,3,8,Nou Barris,46,el Turó de la Peira,Lloguer mitjà mensual (Euros/mes),613.8,,,,,,
2017,3,8,Nou Barris,47,Can Peguera,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,3,8,Nou Barris,48,la Guineueta,Lloguer mitjà mensual (Euros/mes),625.23,,,,,,
2017,3,8,Nou Barris,49,Canyelles,Lloguer mitjà mensual (Euros/mes),701.5,,,,,,
2017,3,8,Nou Barris,50,les Roquetes,Lloguer mitjà mensual (Euros/mes),560.56,,,,,,
2017,3,8,Nou Barris,51,Verdun,Lloguer mitjà mensual (Euros/mes),593.64,,,,,,
2017,3,8,Nou Barris,52,la Prosperitat,Lloguer mitjà mensual (Euros/mes),625.66,,,,,,
2017,3,8,Nou Barris,53,la Trinitat Nova,Lloguer mitjà mensual (Euros/mes),538.45,,,,,,
2017,3,8,Nou Barris,54,Torre Baró,Lloguer mitjà mensual (Euros/mes),463.17,,,,,,
2017,3,8,Nou Barris,55,Ciutat Meridiana,Lloguer mitjà mensual (Euros/mes),423.09,,,,,,
2017,3,8,Nou Barris,56,Vallbona,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,3,9,Sant Andreu,57,la Trinitat Vella,Lloguer mitjà mensual (Euros/mes),532.33,,,,,,
2017,3,9,Sant Andreu,58,Baró de Viver,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,3,9,Sant Andreu,59,el Bon Pastor,Lloguer mitjà mensual (Euros/mes),653.72,,,,,,
2017,3,9,Sant Andreu,60,Sant Andreu,Lloguer mitjà mensual (Euros/mes),744.73,,,,,,
2017,3,9,Sant Andreu,61,la Sagrera,Lloguer mitjà mensual (Euros/mes),692.49,,,,,,
2017,3,9,Sant Andreu,62,el Congrés i els Indians,Lloguer mitjà mensual (Euros/mes),761.19,,,,,,
2017,3,9,Sant Andreu,63,Navas,Lloguer mitjà mensual (Euros/mes),790.19,,,,,,
2017,3,10,Sant Martí,64,el Camp de l'Arpa del Clot,Lloguer mitjà mensual (Euros/mes),797.7,,,,,,
2017,3,10,Sant Martí,65,el Clot,Lloguer mitjà mensual (Euros/mes),775.27,,,,,,
2017,3,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Lloguer mitjà mensual (Euros/mes),905.24,,,,,,
2017,3,10,Sant Martí,67,la Vila Olímpica del Poblenou,Lloguer mitjà mensual (Euros/mes),1189.26,,,,,,
2017,3,10,Sant Martí,68,el Poblenou,Lloguer mitjà mensual (Euros/mes),917.87,,,,,,
2017,3,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Lloguer mitjà mensual (Euros/mes),1093.34,,,,,,
2017,3,10,Sant Martí,70,el Besòs i el Maresme,Lloguer mitjà mensual (Euros/mes),625.13,,,,,,
2017,3,10,Sant Martí,71,Provençals del Poblenou,Lloguer mitjà mensual (Euros/mes),933.9,,,,,,
2017,3,10,Sant Martí,72,Sant Martí de Provençals,Lloguer mitjà mensual (Euros/mes),776.09,,,,,,
2017,3,10,Sant Martí,73,la Verneda i la Pau,Lloguer mitjà mensual (Euros/mes),711.99,,,,,,
2017,4,1,Ciutat Vella,1,el Raval,Lloguer mitjà mensual (Euros/mes),776.73,,,,,,
2017,4,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà mensual (Euros/mes),993.16,,,,,,
2017,4,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà mensual (Euros/mes),766.03,,,,,,
2017,4,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà mensual (Euros/mes),914.78,,,,,,
2017,4,2,Eixample,5,el Fort Pienc,Lloguer mitjà mensual (Euros/mes),910.78,,,,,,
2017,4,2,Eixample,6,la Sagrada Família,Lloguer mitjà mensual (Euros/mes),877.02,,,,,,
2017,4,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà mensual (Euros/mes),1225.08,,,,,,
2017,4,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),1081.29,,,,,,
2017,4,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),957,,,,,,
2017,4,2,Eixample,10,Sant Antoni,Lloguer mitjà mensual (Euros/mes),905.83,,,,,,
2017,4,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà mensual (Euros/mes),760.23,,,,,,
2017,4,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,4,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà mensual (Euros/mes),728.07,,,,,,
2017,4,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà mensual (Euros/mes),827.36,,,,,,
2017,4,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà mensual (Euros/mes),771.78,,,,,,
2017,4,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà mensual (Euros/mes),786.53,,,,,,
2017,4,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà mensual (Euros/mes),772.86,,,,,,
2017,4,3,Sants-Montjuïc,18,Sants,Lloguer mitjà mensual (Euros/mes),806.56,,,,,,
2017,4,4,Les Corts,19,les Corts,Lloguer mitjà mensual (Euros/mes),1043.76,,,,,,
